"","NR","WR","SR","ER","NER"
"Schedule(MU)","108.8","-105.6","49.6","-61.0","9.5"
"Actual(MU)","104.5","-98.8","51.0","-64.7","11.7"
"O/D/U/D(MU)","-4.3","6.8","1.4","-3.8","2.2"
