"","NR","WR","SR","ER","NER"
"Schedule(MU)","86.0","-50.4","33.5","-77.9","8.8"
"Actual(MU)","100.0","-59.2","34.3","-82.0","9.5"
"O/D/U/D(MU)","14.0","-8.8","0.8","-4.1","0.7"
