"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","89.3","-106.7","53.1","-52.3","9.7","-6.9"
"Actual(MU)","103.1","-114.8","50.5","-48.8","9.7","-0.3"
"O/D/U/D(MU)","13.8","-8.1","-2.6","3.5","0.0","6.6"
