"","NR","WR","SR","ER","NER"
"Schedule(MU)","126.0","-89.0","41.7","-81.4","2.7"
"Actual(MU)","109.2","-92.4","41.2","-62.4","3.6"
"O/D/U/D(MU)","-16.8","-3.4","-0.5","19.0","0.9"
