"","NR","WR","SR","ER","NER","All India"
"Coal","444","1081","415","424","12","2376"
"Lignite","19","16","46","0","0","81"
"Hydro","129","48","85","39","11","311"
"Nuclear","30","28","55","0","0","113"
"Gas, Naptha & Diesel","19","62","16","0","25","123"
"RES (Wind, Solar, Biomass & Others)","69","61","178","2","0","309"
"Total","709","1296","795","464","48","3312"
