"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","178.9","-158.4","86.1","-104.3","-2.0","0.3"
"Actual(MU)","180.1","-157.3","88.7","-113.2","-2.3","-3.8"
"O/D/U/D(MU)","1.2","1.1","2.7","-8.9","-0.3","-4.2"
