"","NR","WR","SR","ER","NER","All India"
"Coal","403","1155","564","434","7","2564"
"Lignite","16","17","46","0","0","80"
"Hydro","142","23","59","25","4","253"
"Nuclear","28","31","36","0","0","95"
"Gas, Naptha & Diesel","18","39","18","0","30","105"
"RES (Wind, Solar, Biomass & Others)","65","63","137","1","0","265"
"Total","672","1328","861","460","41","3362"
