"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9530","0","213.6","118.1","0.7","177"
"","Haryana","7918","0","174.2","114.6","-0.5","216"
"","Rajasthan","7615","0","170.9","50.5","3.7","392"
"","Delhi","4951","0","99.7","69.4","1.8","393"
"","UP","11044","3205","256.4","117.2","4.0","525"
"","Uttarakhand","1569","75","32.8","15.8","1.9","261"
"","HP","1085","0","22.3","-0.3","0.8","323"
"","J&K","1660","100","30.9","16.4","-0.3","175"
"","Chandigarh","268","0","5.2","5.1","0.1","54"
"WR","Chhattisgarh","2841","130","61.9","14.4","0.2","232"
"","Gujarat","9313","0","211.0","24.1","-1.0","437"
"","MP","5466","156","121.5","63.6","2.8","482"
"","Maharashtra","15423","56","340.1","83.6","-3.6","489"
"","Goa","396","0","8.7","8.5","-0.1","0"
"","DD","268","0","6.1","5.6","0.6","80"
"","DNH","657","0","15.2","15.1","0.0","71"
"","Essar steel","506","0","11.0","11.2","-0.2","11"
"SR","Andhra Pradesh","5925","0","131.8","36.2","0.9","362"
"","Telangana","5599","500","127.0","71.2","3.8","354"
"","Karnataka","7039","300","144.2","20.6","1.7","277"
"","Kerala","2890","150","52.7","24.8","1.8","295"
"","Tamil Nadu","11600","0","262.8","73.9","1.2","296"
"","Pondy","291","0","6.3","6.3","-0.1","22"
"ER","Bihar","2449","0","47.3","46.0","-1.5","198"
"","DVC","2517","200","58.8","-12.4","-0.8","345"
"","Jharkhand","989","0","21.0","13.9","0.3","98"
"","Odisha","3699","0","68.6","23.2","0.3","365"
"","West Bengal","6857","15","136.7","41.0","-2.1","305"
"","Sikkim","64","0","1.2","1.0","0.1","25"
"NER","Arunachal Pradesh","110","5","1.7","1.7","0.0","57"
"","Assam","1125","213","24.7","16.6","3.3","203"
"","Manipur","114","6","1.6","2.3","-0.7","30"
"","Meghalaya","297","3","4.6","1.3","0.1","51"
"","Mizoram","70","5","1.1","1.2","-0.3","21"
"","Nagaland","105","2","1.6","1.7","-0.2","24"
"","Tripura","175","58","2.3","1.7","-0.8","39"
