"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10246","0","208.8","127.6","-2.6","190","0.0"
"","Haryana","8616","0","189.1","132.2","-0.7","754","0.0"
"","Rajasthan","9280","0","185.4","73.7","2.6","404","0.0"
"","Delhi","5493","0","112.5","88.7","-0.8","212","0.2"
"","UP","16341","0","300.8","142.8","0.8","939","0.0"
"","Uttarakhand","1652","0","35.2","5.6","1.9","302","0.0"
"","HP","1279","0","26.3","-1.7","2.3","186","0.0"
"","J&K","1952","488","35.2","12.2","-0.6","522","8.3"
"","Chandigarh","298","0","5.7","6.3","-0.6","20","0.0"
"WR","Chhattisgarh","3237","0","74.3","12.7","2.7","449","0.0"
"","Gujarat","12191","0","264.4","47.5","-1.7","341","0.0"
"","MP","7045","0","148.6","78.6","-0.5","423","0.0"
"","Maharashtra","18082","0","403.9","120.5","4.7","445","0.0"
"","Goa","425","0","8.7","8.3","-0.2","102","0.0"
"","DD","296","0","6.7","6.3","0.4","52","0.0"
"","DNH","718","0","16.3","16.2","0.1","29","0.0"
"","Essar steel","465","0","9.4","8.9","0.5","187","0.0"
"SR","Andhra Pradesh","7039","0","157","42","5","650","0.0"
"","Telangana","7013","0","147","87","-1","373","0.0"
"","Karnataka","8450","0","179","72","3","560","0.0"
"","Kerala","3386","0","64","48","2","208","0.0"
"","Tamil Nadu","14111","0","312","119","-1","580","0.0"
"","Pondy","362","0","8","8","0","53","0.0"
"ER","Bihar","3898","0","70.8","67.1","2.1","400","0.0"
"","DVC","2733","0","62.2","-39.8","1.4","300","0.0"
"","Jharkhand","1103","0","20.5","15.1","-0.9","180","0.0"
"","Odisha","4075","0","86.3","33.0","3.9","290","0.0"
"","West Bengal","7657","0","139.7","40.0","-1.1","70","0.0"
"","Sikkim","70","0","1.1","0.9","0.2","25","0.0"
"NER","Arunachal Pradesh","104","2","2.0","2.9","-0.9","6","0.0"
"","Assam","1578","106","28.9","21.8","2.6","116","1.2"
"","Manipur","133","3","2.0","2.1","-0.1","7","0.0"
"","Meghalaya","261","0","6.0","-1.0","0.7","35","0.0"
"","Mizoram","66","1","1.3","1.1","0.1","23","0.0"
"","Nagaland","103","5","1.9","2.2","-0.3","18","0.0"
"","Tripura","243","1","3.7","2.9","-0.4","23","0.1"
