"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","3.81","16.14","20.22","48.14","31.64"
"SR GRID","0.00","0.00","3.81","16.14","20.22","48.14","31.64"
