"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","43761","48568","39112","18595","2355","152391"
"Peak Shortage (MW)","510","0","0","0","56","566"
"Energy Met (MU)","877","1116","910","345","42","3290"
"Hydro Gen (MU)","127","46","97","47","11","328"
"Wind Gen (MU)","14","24","49","----------","----------","87"
"Solar Gen (MU)*","25.27","21.9","74.33","2.02","0.00","124"
"Energy Shortage (MU)","11.7","0.0","0.0","0.0","1.2","13.0"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","44212","50584","41438","18585","2453","153793"
"","18:27","11:05","18:53","18:00","18:07","18:27"
