"","NR","WR","SR","ER","NER"
"Schedule(MU)","134.1","-88.6","39.0","-87.0","7.2"
"Actual(MU)","132.1","-93.5","32.0","-83.5","9.9"
"O/D/U/D(MU)","-2.0","-4.9","-7.0","3.4","2.7"
