"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","144.6","-127.7","58.8","-78.9","1.5","-1.7"
"Actual(MU)","142.6","-129.9","66.9","-80.0","-0.2","-0.6"
"O/D/U/D(MU)","-2.0","-2.2","8.1","-1.1","-1.7","1.1"
