"","NR","WR","SR","ER","NER","All India"
"Coal","494","1173","522","418","13","2619"
"Lignite","16","14","46","0","0","76"
"Hydro","109","51","75","30","7","273"
"Nuclear","30","25","43","0","0","98"
"Gas, Naptha & Diesel","28","37","18","0","24","107"
"RES (Wind, Solar, Biomass & Others)","77","94","183","1","0","355"
"Total","755","1393","888","449","44","3528"
