"","NR","WR","SR","ER","NER"
"Schedule(MU)","85.2","-92.6","36.0","-41.4","7.2"
"Actual(MU)","90.1","-110.0","42.1","-37.1","12.1"
"O/D/U/D(MU)","4.9","-17.4","6.1","4.3","4.9"
