"","NR","WR","SR","ER","NER"
"Schedule(MU)","108.6","-92.4","31.8","-53.9","4.2"
"Actual(MU)","125.3","-110.8","30.2","-48.8","5.5"
"O/D/U/D(MU)","16.7","-18.4","-1.6","5.1","1.3"
