"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4664","0","86.6","22.4","-0.4","204","0.0"
"","Haryana","6151","0","108.5","69.8","1.1","271","0.0"
"","Rajasthan","10493","0","203.6","60.4","4.0","487","4.5"
"","Delhi","3301","0","62.3","47.7","-1.1","179","0.0"
"","UP","12209","600","271.7","99.7","0.3","336","2.7"
"","Uttarakhand","1792","0","33.5","16.1","0.5","179","0.0"
"","HP","1468","0","26.1","18.1","1.1","141","0.0"
"","J&K","1835","459","32.4","32.8","-4.7","136","7.8"
"","Chandigarh","177","0","3.2","3.4","-0.3","11","0.0"
"WR","Chhattisgarh","2982","0","67.2","12.9","-0.2","233","0.0"
"","Gujarat","14486","0","315.6","106.3","-2.6","332","0.0"
"","MP","9607","0","237.4","168.2","-0.2","315","0.0"
"","Maharashtra","20883","0","431.5","145.2","0.3","473","0.0"
"","Goa","412","0","8.6","8.8","-0.2","34","0.0"
"","DD","316","0","7.2","6.6","0.5","49","0.0"
"","DNH","744","0","17.1","17.4","-0.2","10","0.0"
"","Essar steel","508","0","10.0","10.4","-0.4","175","0.0"
"SR","Andhra Pradesh","7506","0","157.5","56.3","-0.7","339","0.0"
"","Telangana","7410","0","153.6","59.2","-5.3","418","0.0"
"","Karnataka","9405","0","197.6","79.8","1.1","440","0.0"
"","Kerala","3516","0","66.8","47.2","1.8","269","0.1"
"","Tamil Nadu","13545","0","275.1","137.0","4.0","591","0.0"
"","Pondy","325","0","6.6","7.2","-0.5","26","0.0"
"ER","Bihar","3597","100","60.8","52.8","2.6","405","0.5"
"","DVC","2475","200","61.4","-24.0","4.2","435","0.7"
"","Jharkhand","1061","0","23.4","12.3","1.5","105","0.3"
"","Odisha","3533","250","65.7","28.1","1.9","385","0.8"
"","West Bengal","6705","0","115.7","31.6","2.5","445","0.0"
"","Sikkim","106","0","1.3","1.3","0.0","20","0.0"
"NER","Arunachal Pradesh","134","1","2.2","2.1","0.1","43","0.0"
"","Assam","1426","24","22.9","18.6","0.9","268","0.3"
"","Manipur","164","2","2.2","2.5","-0.3","35","0.0"
"","Meghalaya","297","0","5.5","2.4","0.1","40","0.0"
"","Mizoram","92","0","1.5","1.2","0.2","45","0.0"
"","Nagaland","123","2","2.0","1.4","0.1","28","0.0"
"","Tripura","205","0","3.9","2.3","0.3","57","0.1"
