"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.3","1.3","0.3","90.9","8.8"
"SR GRID","0.0","0.5","3.3","11.5","3.8","94.2","2.1"
