"","NR","WR","SR","ER","NER","All India"
"Coal","479","1092","521","460","8","2560"
"Lignite","11","15","57","0","0","82"
"Hydro","102","20","79","17","5","223"
"Nuclear","18","31","31","0","0","81"
"Gas, Naptha & Diesel","19","35","18","0","27","99"
"RES (Wind, Solar, Biomass & Others)","65","108","145","1","0","318"
"Total","694","1301","851","478","40","3363"
