"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5728","0","115.6","44.6","-0.5","101","0.0"
"","Haryana","6506","86","120.6","61.3","2.4","311","2.9"
"","Rajasthan","8721","0","185.3","66.7","6.7","623","9.8"
"","Delhi","4380","0","90.2","71.9","-1.3","163","0.1"
"","UP","15627","110","325.9","112.4","5.1","1012","0.1"
"","Uttarakhand","1784","150","36.3","20.0","1.8","255","0.1"
"","HP","1343","0","25.0","15.1","2.4","391","0.1"
"","J&K","2025","506","41.6","31.9","1.3","213","9.8"
"","Chandigarh","205","0","4.1","3.9","0.2","58","0.0"
"WR","Chhattisgarh","3674","0","86.0","14.2","-0.4","206","0.2"
"","Gujarat","15718","0","353.1","186.4","0.9","381","0.0"
"","MP","8773","0","189.8","82.5","-2.8","159","0.0"
"","Maharashtra","23342","16","496.3","147.3","-3.0","748","0.1"
"","Goa","553","0","12.1","11.3","0.1","38","0.0"
"","DD","319","0","7.2","6.8","0.4","77","0.0"
"","DNH","754","0","17.6","17.1","0.5","58","0.0"
"","Essar steel","265","0","4.8","5.4","-0.7","141","0.0"
"SR","Andhra Pradesh","8785","0","185.1","66.7","-2.0","503","0.0"
"","Telangana","8376","0","181.0","70.8","-2.4","341","0.0"
"","Karnataka","9791","0","215.7","75.4","-2.6","408","0.0"
"","Kerala","3538","0","74.9","51.3","1.2","294","0.0"
"","Tamil Nadu","15408","0","343.2","184.5","2.4","683","0.0"
"","Pondy","375","0","8.1","8.2","-0.1","40","0.0"
"ER","Bihar","4366","0","82.6","80.6","1.1","350","0.0"
"","DVC","3227","0","74.1","-58.6","-0.5","285","0.0"
"","Jharkhand","955","0","22.4","15.7","1.6","100","0.0"
"","Odisha","4625","0","82.2","27.8","-0.4","298","0.0"
"","West Bengal","8017","0","164.8","43.8","-0.4","365","0.0"
"","Sikkim","98","0","1.4","1.3","0.1","17","0.0"
"NER","Arunachal Pradesh","119","1","2.2","1.6","0.5","44","0.0"
"","Assam","1478","54","23.2","18.9","1.2","98","0.5"
"","Manipur","152","7","2.0","2.2","-0.2","24","0.0"
"","Meghalaya","286","0","4.8","2.7","-0.2","18","0.0"
"","Mizoram","78","4","1.6","1.2","0.1","20","0.0"
"","Nagaland","129","5","2.0","1.8","0.1","32","0.0"
"","Tripura","204","12","3.5","3.5","-0.3","45","0.1"
