"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","182.5","-210.0","111.8","-94.6","3.7","-6.7"
"Actual(MU)","193.4","-222.2","109.1","-89.0","3.9","-4.8"
"O/D/U/D(MU)","10.9","-12.2","-2.7","5.6","0.2","1.9"
