"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4523","0","85.0","55.4","1.3","335"
"","Haryana","5850","0","102.1","93.1","4.0","495"
"","Rajasthan","9739","0","177.7","56.1","2.7","715"
"","Delhi","3277","0","57.5","49.3","0.4","286"
"","UP","11208","0","233.7","91.5","-2.1","548"
"","Uttarakhand","1746","0","33.0","16.6","-0.1","144"
"","HP","1479","0","27.6","21.0","1.1","200"
"","J&K","1416","354","31.0","35.3","-12.8","0"
"","Chandigarh","182","0","3.2","3.6","-0.4","2"
"WR","Chhattisgarh","3445","0","80.0","26.1","1.6","431"
"","Gujarat","13299","0","289.6","104.3","2.0","697"
"","MP","8598","0","166.0","89.7","-0.5","381"
"","Maharashtra","20573","0","437.6","151.0","-3.9","727"
"","Goa","549","0","9.2","8.6","0.0","63"
"","DD","323","0","7.2","6.8","0.4","49"
"","DNH","735","0","16.5","16.8","-0.2","62"
"","Essar steel","348","0","6.9","6.5","0.4","192"
"SR","Andhra Pradesh","7118","0","156.9","15.6","4.3","971"
"","Telangana","8358","0","174.8","87.7","0.8","359"
"","Karnataka","9693","0","216.8","75.7","2.9","448"
"","Kerala","3462","0","68.0","54.2","1.8","316"
"","Tamil Nadu","13370","0","298.6","158.6","-1.9","618"
"","Pondy","325","0","7.0","7.4","-0.4","23"
"ER","Bihar","3380","0","49.8","50.3","-2.8","225"
"","DVC","3061","0","67.4","-33.8","-1.1","200"
"","Jharkhand","1159","0","22.0","15.9","0.1","85"
"","Odisha","3808","0","68.7","13.2","1.0","200"
"","West Bengal","6377","0","101.4","22.2","2.1","250"
"","Sikkim","100","0","1.4","1.8","-0.3","15"
"NER","Arunachal Pradesh","115","5","2.0","2.0","0.0","28"
"","Assam","1269","94","19.7","14.4","1.4","156"
"","Manipur","131","4","2.1","2.4","-0.3","9"
"","Meghalaya","307","0","5.0","4.2","-0.5","35"
"","Mizoram","77","3","1.3","1.3","0.0","11"
"","Nagaland","109","1","1.8","1.9","-0.2","3"
"","Tripura","185","13","2.3","1.7","-0.5","55"
