"","NR","WR","SR","ER","NER","All India"
"Coal","503","1180","537","435","12","2666"
"Lignite","19","15","48","0","0","81"
"Hydro","119","54","81","36","7","297"
"Nuclear","29","25","38","0","0","92"
"Gas, Naptha & Diesel","29","29","18","0","23","99"
"RES (Wind, Solar, Biomass & Others)","54","64","152","2","0","272"
"Total","753","1366","874","473","42","3508"
