"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","35891","37323","33122","15133","1919","123388"
"Peak Shortage (MW)","1886","167","1433","415","313","4214"
"Energy Met (MU)","794","924","820","337","24","2899"
"Hydro Gen(MU)","126","38","91","20","6","282"
"Wind Gen(MU)","20","16","10","----------","----------","46"
