"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.00","2.79","2.79","63.46","33.75"
"SR GRID","0.00","0.00","0.00","2.79","2.79","63.46","B. Frequency Profile (%)33.75"
