"","NR","WR","SR","ER","NER"
"Schedule(MU)","82.0","-69.1","45.7","-68.1","8.3"
"Actual(MU)","82.6","-75.9","45.3","-61.9","7.6"
"O/D/U/D(MU)","0.6","-6.8","-0.4","6.2","-0.7"
