"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4359","0","84.8","45.5","2.4","288"
"","Haryana","5041","0","88.3","37.7","1.5","660"
"","Rajasthan","7493","0","155.5","76.3","-2.4","120"
"","Delhi","2959","0","55.1","42.1","-2.8","327"
"","UP","10011","1280","210.4","87.6","-4.4","596"
"","Uttarakhand","1510","40","26.5","17.8","0.4","120"
"","HP","1064","0","19.0","11.8","-0.9","70"
"","J&K","1739","100","35.9","28.7","0.0","155"
"","Chandigarh","173","0","3.2","3.4","-0.2","8"
"WR","Chhattisgarh","2537","9","52.7","9.0","-0.1","384"
"","Gujarat","8277","31","183.1","26.6","2.0","348"
"","MP","8228","0","174.6","121.4","-7.0","359"
"","Maharashtra","14876","61","329.9","104.3","2.4","420"
"","Goa","411","0","8.3","8.1","-0.2","65"
"","DD","117","0","2.8","2.3","0.5","60"
"","DNH","540","0","12.0","11.6","0.4","55"
"","Essar steel","213","0","4.5","4.5","0.0","51"
"SR","Andhra Pradesh","10418","0","227.3","90.6","1.8","258"
"","Karnataka","7467","300","151.5","24.0","1.0","167"
"","Kerala","3227","300","59.0","32.3","2.2","182"
"","Tamil Nadu","10095","659","212.2","73.7","0.3","357"
"","Pondy","287","0","5.5","6.3","-0.8","9"
"ER","Bihar","2239","100","41.8","38.1","1.2","100"
"","DVC","2487","0","55.2","-17.6","0.5","150"
"","Jharkhand","1049","0","19.8","13.9","0.0","50"
"","Odisha","3363","0","61.3","12.5","-1.2","0"
"","West Bengal","6132","0","105.8","13.9","3.6","350"
"","Sikkim","83","0","1.8","1.3","0.5","0"
"NER","Arunachal Pradesh","115","3","1.5","1.2","0.3","67"
"","Assam","1089","49","18.7","10.3","2.8","250"
"","Manipur","108","2","1.4","1.8","-0.4","22"
"","Meghalaya","244","1","4.6","2.7","0.3","65"
"","Mizoram","65","1","1.2","1.0","-0.1","20"
"","Nagaland","94","3","1.4","1.2","0.1","26"
"","Tripura","194","1","3.3","0.2","0.5","66"
