"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7689","0","166.6","110.9","-0.8","241"
"","Haryana","7396","176","148.0","143.9","-0.9","209"
"","Rajasthan","7801","0","162.1","48.2","0.1","391"
"","Delhi","5135","0","102.0","88.1","-0.8","206"
"","UP","13321","0","286.3","148.9","-0.8","498"
"","Uttarakhand","1875","0","38.3","18.2","-1.8","98"
"","HP","1211","0","25.0","2.1","1.1","138"
"","J&K","1774","444","32.5","20.1","-5.2","0"
"","Chandigarh","305","0","5.9","5.9","0.0","35"
"WR","Chhattisgarh","3123","0","69.3","23.6","2.0","661"
"","Gujarat","12032","0","269.1","47.6","-3.8","492"
"","MP","5999","0","127.9","87.4","-0.2","478"
"","Maharashtra","15552","0","338.8","84.7","-2.9","511"
"","Goa","423","0","8.9","7.4","0.8","45"
"","DD","298","0","6.2","6.2","0.0","27"
"","DNH","745","0","16.9","17.9","-1.0","23"
"","Essar steel","577","0","11.1","10.6","0.6","197"
"SR","Andhra Pradesh","6463","0","139.0","23.1","3.3","663"
"","Telangana","5689","0","125.4","75.3","1.4","445"
"","Karnataka","7298","200","152.4","60.3","3.0","578"
"","Kerala","3096","0","54.3","40.8","1.0","261"
"","Tamil Nadu","13866","0","305.7","105.3","1.6","942"
"","Pondy","336","0","7.3","7.5","-0.2","147"
"ER","Bihar","3161","0","57.9","58.9","-3.1","20"
"","DVC","2488","0","53.9","-26.7","-0.4","200"
"","Jharkhand","906","0","16.3","14.7","-3.3","130"
"","Odisha","3746","0","77.2","29.0","2.7","320"
"","West Bengal","7106","0","141.7","35.5","5.0","350"
"","Sikkim","96","0","1.5","1.3","0.1","15"
"NER","Arunachal Pradesh","97","0","1.5","2.3","-0.9","4"
"","Assam","1420","90","23.6","17.3","0.8","449"
"","Manipur","129","1","1.9","2.2","-0.2","54"
"","Meghalaya","285","0","5.6","-0.4","1.2","86"
"","Mizoram","65","5","1.1","1.2","-0.2","15"
"","Nagaland","101","0","1.9","1.8","0.0","47"
"","Tripura","229","1","3.3","3.3","-0.3","116"
