"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","1.7","0.0","75.8","24.2"
"SR GRID","0.0","0.0","3.8","16.9","3.8","92.1","4.1"
