"","NR","WR","SR","ER","NER","All India"
"Coal","276","736","360","365","7","1744"
"Lignite","15","11","47","0","0","73"
"Hydro","142","35","78","39","4","298"
"Nuclear","20","33","64","0","0","116"
"Gas, Naptha & Diesel","29","53","20","0","22","123"
"RES (Wind, Solar, Biomass & Others)","63","66","154","5","0","287"
"Total","545","933","722","409","33","2642"
