"","NR","WR","SR","ER","NER"
"Schedule(MU)","67.1","-56.1","46.8","-70.2","9.4"
"Actual(MU)","61.2","-52.3","46.2","-68.3","11.1"
"O/D/U/D(MU)","-5.9","3.8","-0.6","1.9","1.7"
