"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5130","0","94.0","37.1","-0.8","157"
"","Haryana","5861","217","120.2","62.8","-1.2","208"
"","Rajasthan","9823","0","208.9","88.8","2.4","327"
"","Delhi","4161","0","74.7","46.0","0.8","340"
"","UP","10986","3380","252.4","90.6","3.5","776"
"","Uttarakhand","1864","0","34.4","26.9","0.8","234"
"","HP","1351","20","25.6","21.4","0.2","158"
"","J&K","2001","353","43.5","35.5","3.1","350"
"","Chandigarh","238","0","4.1","4.0","0.1","26"
"WR","Chhattisgarh","3081","54","66.6","17.0","0.9","187"
"","Gujarat","12165","43","257.2","45.4","0.8","577"
"","MP","9592","0","192.2","111.3","-3.6","1212"
"","Maharashtra","18023","65","363.0","96.0","-2.3","829"
"","Goa","362","0","7.2","6.8","-0.3","138"
"","DD","263","0","5.8","5.9","-0.2","76"
"","DNH","641","0","15.0","15.0","-0.1","242"
"","Essar steel","352","0","6.7","6.8","-0.1","174"
"SR","Andhra Pradesh","5582","0","127.6","18.3","2.0","344"
"","Telangana","5927","300","130.5","76.7","3.4","680"
"","Karnataka","8386","300","173.4","27.1","2.5","436"
"","Kerala","3155","125","58.0","45.0","2.5","254"
"","Tamil Nadu","10821","1500","236.6","79.6","2.8","416"
"","Pondy","288","0","5.7","6.0","-0.3","18"
"ER","Bihar","2580","300","53.3","51.4","-0.3","180"
"","DVC","2379","0","52.3","-18.7","-0.9","200"
"","Jharkhand","1070","0","22.0","11.0","0.0","100"
"","Odisha","3341","0","62.8","25.2","2.0","400"
"","West Bengal","6085","0","103.0","15.0","3.3","480"
"","Sikkim","96","0","1.5","1.2","0.3","25"
"NER","Arunachal Pradesh","106","5","1.8","1.3","0.6","47"
"","Assam","1178","61","21.2","13.3","3.1","171"
"","Manipur","130","6","2.4","2.4","0.1","33"
"","Meghalaya","366","0","5.5","4.0","-0.4","45"
"","Mizoram","82","3","1.3","1.1","0.2","26"
"","Nagaland","100","4","2.4","1.5","0.4","27"
"","Tripura","192","8","2.8","0.3","0.3","58"
