"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","203.6","-197.0","58.1","-69.1","2.8","-1.6"
"Actual(MU)","199.5","-211.6","54.3","-63.3","3.7","-17.5"
"O/D/U/D(MU)","-4.1","-14.6","-3.8","5.7","0.9","-15.9"
