"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4818","0","96.0","54.2","3.3","368"
"","Haryana","5415","0","107.9","58.5","0.1","253"
"","Rajasthan","7467","0","155.8","71.8","-7.5","60"
"","Delhi","3600","0","65.3","46.1","-0.5","318"
"","UP","9353","2100","204.7","75.5","-3.4","346"
"","Uttarakhand","1521","75","29.2","17.8","1.6","174"
"","HP","1256","0","23.8","11.2","3.4","316"
"","J&K","1787","100","33.3","22.2","2.6","249"
"","Chandigarh","191","0","3.4","3.6","-0.1","11"
"WR","Chhattisgarh","2708","9","57.2","12.8","-0.3","395"
"","Gujarat","11279","5","250.4","55.7","-1.4","376"
"","MP","7568","0","164.0","99.4","-5.6","360"
"","Maharashtra","16794","600","363.2","118.4","6.5","453"
"","Goa","408","0","8.4","7.2","0.6","55"
"","DD","248","0","5.8","5.9","-0.1","48"
"","DNH","637","0","15.1","14.9","0.3","51"
"","Essar steel","252","0","4.6","4.6","0.0","51"
"SR","Andhra Pradesh","10389","0","216.4","59.2","1.2","294"
"","Karnataka","7132","400","140.8","22.5","1.6","451"
"","Kerala","3105","300","58.0","28.5","1.8","334"
"","Tamil Nadu","10658","1661","237.6","68.2","2.7","411"
"","Pondy","301","30","6.3","6.1","0.2","45"
"ER","Bihar","1903","450","38.1","34.7","3.4","200"
"","DVC","2496","0","54.8","-23.8","0.0","300"
"","Jharkhand","956","0","20.1","12.9","-0.7","100"
"","Odisha","3347","0","61.7","2.3","-4.1","0"
"","West Bengal","6332","3","111.4","21.6","6.6","410"
"","Sikkim","90","0","1.4","0.6","0.7","25"
"NER","Arunachal Pradesh","96","14","1.1","1.2","-0.1","43"
"","Assam","1120","64","18.3","11.5","1.6","209"
"","Manipur","105","3","1.3","1.6","-0.4","28"
"","Meghalaya","260","1","4.5","2.2","0.0","52"
"","Mizoram","50","5","0.9","0.9","-0.2","24"
"","Nagaland","95","4","1.6","0.9","0.4","36"
"","Tripura","203","1","3.3","0.5","0.2","65"
