"","NR","WR","SR","ER","NER"
"Schedule(MU)","62.8","-63.8","35.2","-43.1","4.6"
"Actual(MU)","43.9","-45.2","36.3","-43.9","7.5"
"O/D/U/D(MU)","-18.9","18.6","1.1","-0.8","2.9"
