"","NR","WR","SR","ER","NER"
"Schedule(MU)","58.1","-60.1","39.4","-48.5","8.0"
"Actual(MU)","57.6","-68.9","40.3","-41.2","9.1"
"O/D/U/D(MU)","-0.5","-8.8","0.9","7.3","1.1"
