"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0","0","0.0","1.8","0.0","85.9","14.1"
"SR GRID","0","0.0","6.7","29.6","6.7","88.8","4.5"
