"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9454","0","207.8","126.0","-0.5","108"
"","Haryana","7106","0","146.8","130.9","-0.9","230"
"","Rajasthan","7257","0","154.2","59.6","0.5","226"
"","Delhi","4730","0","101.2","89.0","-1.3","192"
"","UP","11496","4380","267.4","144.9","1.2","340"
"","Uttarakhand","1768","0","36.7","12.7","1.5","166"
"","HP","1207","0","24.5","0.6","-0.2","83"
"","J&K","1778","444","35.1","20.4","-0.4","329"
"","Chandigarh","299","0","6.0","6.4","-0.8","6"
"WR","Chhattisgarh","3260","0","73.1","28.1","-0.2","330"
"","Gujarat","12061","0","264.4","66.6","-1.7","336"
"","MP","6307","0","130.0","64.0","-2.9","217"
"","Maharashtra","17655","24","381.6","108.2","4.6","580"
"","Goa","421","0","8.3","7.0","0.6","78"
"","DD","293","0","6.6","6.3","0.3","40"
"","DNH","688","0","15.8","15.8","0.0","26"
"","Essar steel","332","0","6.1","6.0","0.1","115"
"SR","Andhra Pradesh","6263","0","136.2","24.3","2.0","672"
"","Telangana","6520","0","142.9","99.7","-2.2","392"
"","Karnataka","7011","1000","155.6","19.5","5.7","809"
"","Kerala","3261","200","62.1","31.6","1.8","217"
"","Tamil Nadu","12513","0","263.1","107.0","3.8","414"
"","Pondy","327","0","7.0","6.6","0.4","29"
"ER","Bihar","2959","0","60.9","59.4","-0.6","285"
"","DVC","2468","0","46.2","-17.2","0.3","150"
"","Jharkhand","1128","0","23.5","11.3","0.1","115"
"","Odisha","3920","0","76.3","21.7","2.1","205"
"","West Bengal","7363","0","144.0","52.9","1.3","210"
"","Sikkim","87","0","1.2","0.8","0.4","20"
"NER","Arunachal Pradesh","96","1","1.7","2.0","-0.3","15"
"","Assam","1287","176","18.3","17.7","0.6","205"
"","Manipur","145","5","2.2","2.3","-0.1","60"
"","Meghalaya","275","0","4.3","1.4","-1.0","48"
"","Mizoram","79","0","1.2","1.4","-0.2","11"
"","Nagaland","106","1","1.8","1.8","-0.1","14"
"","Tripura","230","0","3.9","1.9","0.3","66"
