"Share of RES in total generation (%)","6.80","6.54","14.13","0.14","0.07","7.52"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","24.86","10.29","27.84","5.65","18.23","17.37"
