"","NR","WR","SR","ER","NER"
"Schedule(MU)","96.3","-66.5","33.7","-70.6","7.1"
"Actual(MU)","86.3","-66.6","33.0","-65.4","9.3"
"O/D/U/D(MU)","-10.0","-0.1","-0.7","5.2","2.2"
