"","NR","WR","SR","ER","NER"
"Schedule(MU)","87.9","-101.1","41.2","-26.2","0.4"
"Actual(MU)","87.3","-117.5","47.2","-14.2","1.2"
"O/D/U/D(MU)","-0.6","-16.4","6.0","12.0","0.8"
