"","NR","WR","SR","ER","NER"
"Schedule(MU)","106.9","-102.5","30.0","-43.5","5.1"
"Actual(MU)","100.6","-108.2","33.7","-37.0","6.4"
"O/D/U/D(MU)","-6.3","-5.7","3.7","6.5","1.3"
