"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5997","0","108.5","35.5","1.1","233"
"","Haryana","6426","0","116.0","61.6","-0.6","313"
"","Rajasthan","9886","0","208.7","57.5","2.9","479"
"","Delhi","3777","0","64.1","54.6","-1.0","232"
"","UP","13451","0","286.8","92.6","-1.8","233"
"","Uttarakhand","1940","0","35.1","22.6","0.2","110"
"","HP","1318","0","25.3","20.3","0.0","146"
"","J&K","2068","517","44.4","41.5","-1.2","148"
"","Chandigarh","228","0","3.8","3.9","-0.1","24"
"WR","Chhattisgarh","3211","0","73.3","15.8","-0.8","190"
"","Gujarat","13416","0","286.3","73.6","-2.9","407"
"","MP","11376","0","211.4","122.5","-1.7","289"
"","Maharashtra","20599","0","420.4","147.0","-2.0","417"
"","Goa","523","0","9.1","8.1","0.4","8"
"","DD","297","0","6.5","6.3","0.1","20"
"","DNH","730","0","16.5","16.7","-0.1","23"
"","Essar steel","491","0","9.0","8.0","1.0","261"
"SR","Andhra Pradesh","7033","0","145.9","16.3","3.2","557"
"","Telangana","8030","0","158.4","80.4","2.7","359"
"","Karnataka","9204","0","198.9","72.5","4.0","519"
"","Kerala","3413","0","64.4","55.2","2.6","230"
"","Tamil Nadu","12506","0","262.1","130.5","-1.6","424"
"","Pondy","287","0","5.8","6.3","-0.5","31"
"ER","Bihar","3569","150","63.2","60.3","-0.8","385"
"","DVC","2797","0","62.6","-37.0","-0.5","285"
"","Jharkhand","1193","0","22.7","15.5","0.5","198"
"","Odisha","3633","0","66.5","11.5","1.5","356"
"","West Bengal","6674","0","110.7","27.7","1.5","425"
"","Sikkim","88","0","1.4","1.6","-0.2","20"
"NER","Arunachal Pradesh","105","3","2.2","1.8","0.4","26"
"","Assam","1354","15","22.1","15.7","2.3","134"
"","Manipur","144","4","2.2","2.4","-0.2","6"
"","Meghalaya","282","0","4.9","4.5","-0.2","30"
"","Mizoram","86","3","1.5","1.2","0.2","27"
"","Nagaland","104","5","2.1","1.8","0.2","24"
"","Tripura","214","0","3.5","2.0","0.4","42"
