"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","1.57","14.72","16.30","69.17","14.54"
"SR GRID","0.00","0.00","1.57","14.72","16.30","69.17","B. Frequency Profile (%)14.54"
