"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.49","9.61","10.09","74.62","15.29"
"SR GRID","0.00","0.00","0.49","9.61","10.09","74.62","15.29"
