"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8397","0","190.8","116.3","-0.4","127"
"","Haryana","7238","12","158.8","69.7","0.3","177"
"","Rajasthan","8741","54","191.4","82.3","-2.4","168"
"","Delhi","4685","0","101.4","77.1","-1.9","184"
"","UP","10752","2760","238.1","115.5","-0.3","493"
"","Uttarakhand","1467","225","30.8","9.9","1.8","270"
"","HP","1221","0","24.7","2.7","-0.2","73"
"","J&K","1343","100","27.5","15.8","-1.0","202"
"","Chandigarh","266","0","5.3","5.4","-0.1","30"
"WR","Chhattisgarh","3124","43","70.5","28.2","0.6","450"
"","Gujarat","11847","147","259.1","60.9","-5.5","246"
"","MP","7653","323","158.4","68.4","0.0","444"
"","Maharashtra","16031","217","348.7","109.8","1.5","368"
"","Goa","356","4","6.3","7.4","-1.7","25"
"","DD","268","3","6.3","6.3","0.1","36"
"","DNH","619","6","13.3","14.4","-1.1","28"
"","Essar steel","289","3","6.1","6.3","-0.2","51"
"SR","Andhra Pradesh","10766","0","245.0","82.7","3.4","340"
"","Karnataka","6427","0","126.1","12.5","0.1","253"
"","Kerala","3038","0","56.6","20.1","0.6","338"
"","Tamil Nadu","10779","180","228.6","72.3","0.9","251"
"","Pondy","289","0","5.5","6.2","-0.7","29"
"ER","Bihar","2008","550","43.1","42.0","-1.3","99"
"","DVC","2579","205","56.8","-34.2","-1.7","190"
"","Jharkhand","1002","0","18.4","14.8","-2.0","100"
"","Odisha","3646","0","74.3","14.2","-2.5","180"
"","West Bengal","6930","30","133.9","33.5","3.3","400"
"","Sikkim","90","0","1.2","0.8","0.4","25"
"NER","Arunachal Pradesh","83","2","1.3","1.7","-0.5","38"
"","Assam","1164","166","23.4","14.7","2.8","227"
"","Manipur","105","5","1.4","2.0","-0.7","21"
"","Meghalaya","245","17","4.7","0.4","-0.4","15"
"","Mizoram","59","8","1.0","1.2","-0.5","2"
"","Nagaland","99","1","1.6","1.6","-0.3","16"
"","Tripura","201","27","3.1","1.2","0.3","53"
