"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5079","0","102.5","58.1","-0.3","141"
"","Haryana","6078","0","124.0","80.3","-0.1","160"
"","Rajasthan","10135","0","211.8","75.1","1.7","423"
"","Delhi","3217","0","60.7","43.5","1.6","290"
"","UP","11559","1800","235.8","103.9","1.8","282"
"","Uttarakhand","1782","0","34.1","22.9","1.5","175"
"","HP","1365","5","24.6","20.7","0.1","122"
"","J&K","1991","498","42.0","35.8","-0.1","139"
"","Chandigarh","188","0","3.4","3.4","0.3","14"
"WR","Chhattisgarh","3723","96","86.7","34.0","2.8","314"
"","Gujarat","12994","14","290.6","61.9","4.8","356"
"","MP","9560","0","195.9","112.8","-2.2","225"
"","Maharashtra","18537","5","391.8","109.8","-4.8","266"
"","Goa","428","0","8.9","7.9","0.4","62"
"","DD","299","0","6.7","6.4","0.4","43"
"","DNH","703","0","16.6","16.5","0.1","103"
"","Essar steel","500","0","9.5","8.4","1.1","172"
"SR","Andhra Pradesh","6969","0","152.6","27.3","0.8","424"
"","Telangana","6366","0","145.1","92.9","1.8","269"
"","Karnataka","9150","600","206.1","63.2","2.6","459"
"","Kerala","3706","0","70.7","51.3","1.5","235"
"","Tamil Nadu","14125","0","304.3","149.4","1.2","491"
"","Pondy","310","0","6.8","6.6","0.3","38"
"ER","Bihar","3346","200","63.6","62.2","-2.1","0"
"","DVC","2643","0","59.3","-21.4","-0.8","0"
"","Jharkhand","853","0","21.7","14.5","1.5","0"
"","Odisha","3806","0","77.2","23.1","3.6","0"
"","West Bengal","6161","0","124.6","24.2","4.0","0"
"","Sikkim","103","0","1.8","1.4","0.4","0"
"NER","Arunachal Pradesh","110","1","2.0","1.5","0.5","26"
"","Assam","1206","112","20.4","14.4","1.3","194"
"","Manipur","134","3","2.0","1.8","0.3","48"
"","Meghalaya","342","0","5.2","3.4","-0.1","30"
"","Mizoram","81","1","1.3","0.8","0.5","42"
"","Nagaland","90","4","1.9","1.4","0.5","27"
"","Tripura","201","6","2.6","-0.3","1.0","102"
