"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","172.7","-147.3","61.2","-87.7","1.5","0.4"
"Actual(MU)","152.7","-126.1","52.2","-76.0","-2.0","0.8"
"O/D/U/D(MU)","-20.0","21.2","-8.9","11.7","-3.5","0.5"
