"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8859","0","193.2","112.2","-1.5","221"
"","Haryana","7854","0","166.3","113.3","-1.1","250"
"","Rajasthan","8864","0","198.2","47.8","0.7","326"
"","Delhi","5176","0","110.5","77.9","-0.9","258"
"","UP","11450","1840","256.4","117.4","3.4","489"
"","Uttarakhand","1615","75","32.1","10.9","-0.7","195"
"","HP","1092","0","22.6","-1.3","-1.2","31"
"","J&K","1615","100","24.9","15.7","-1.3","241"
"","Chandigarh","264","0","5.6","5.5","0.0","38"
"WR","Chhattisgarh","3008","341","71.4","18.5","3.2","457"
"","Gujarat","13340","17","292.6","35.0","-3.4","458"
"","MP","6973","43","151.1","88.0","-0.1","320"
"","Maharashtra","19322","98","426.5","123.9","3.0","873"
"","Goa","395","101","8.3","6.5","1.6","120"
"","DD","276","1","6.2","5.8","0.4","59"
"","DNH","650","2","15.3","15.1","0.1","29"
"","Essar steel","435","1","8.5","9.1","-0.7","11"
"SR","Andhra Pradesh","5647","1000","131.1","22.0","0.6","538"
"","Telangana","5435","500","121.6","65.7","1.2","401"
"","Karnataka","8092","700","176.9","26.6","2.6","347"
"","Kerala","3078","150","59.1","28.2","2.6","264"
"","Tamil Nadu","12446","0","273.4","83.5","-0.4","1190"
"","Pondy","333","0","6.7","6.6","0.0","52"
"ER","Bihar","2303","100","43.1","45.8","-2.7","40"
"","DVC","2538","0","56.3","-18.2","-0.9","220"
"","Jharkhand","1024","0","16.3","12.1","-3.6","100"
"","Odisha","3579","0","70.1","27.7","5.1","240"
"","West Bengal","6265","0","117.3","33.6","3.0","350"
"","Sikkim","80","0","1.3","1.2","0.1","23"
"NER","Arunachal Pradesh","98","8","1.5","1.9","-0.3","12"
"","Assam","1165","248","25.5","16.5","3.8","156"
"","Manipur","115","7","1.6","2.4","-0.9","23"
"","Meghalaya","240","22","4.4","1.4","-0.3","84"
"","Mizoram","74","6","1.1","1.3","-0.5","9"
"","Nagaland","108","4","1.7","1.8","-0.4","27"
"","Tripura","235","10","3.4","1.2","-0.2","52"
