"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","52145","49582","41474","19421","2374","164996"
"Peak Shortage (MW)","605","0","65","0","109","779"
"Energy Met (MU)","1152","1217","1026","441","42","3877"
"Hydro Gen (MU)","252","47","79","59","16","454"
"Wind Gen (MU)","24","89","85","----------","----------","198"
"Solar Gen (MU)*","24.82","25.3","81.70","2.15","0.04","134"
"Energy Shortage (MU)","10.8","0.0","0.6","0.0","2.5","13.9"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","54306","54487","45156","21132","2375","171476"
"","00:00","15:27","14:39","22:59","18:44","00:00"
