"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.9","-77.2","34.7","-65.9","2.5"
"Actual(MU)","86.1","-66.5","34.8","-54.2","-0.2"
"O/D/U/D(MU)","-17.8","10.7","0.1","11.7","-2.7"
