"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4858","0","93.1","48.8","0.6","112"
"","Haryana","5463","135","96.4","66.9","-0.3","154"
"","Rajasthan","7238","0","152.7","35.6","-0.8","246"
"","Delhi","3184","0","65.1","52.5","-1.4","118"
"","UP","11154","1830","250.0","109.0","0.0","477"
"","Uttarakhand","1601","0","31.8","19.9","1.1","184"
"","HP","1174","0","23.3","11.4","-0.1","61"
"","J&K","1613","100","32.2","22.6","-3.7","0"
"","Chandigarh","181","0","3.4","3.3","0.1","9"
"WR","Chhattisgarh","3430","49","81.8","24.9","0.0","341"
"","Gujarat","12276","0","273.0","51.4","-1.9","357"
"","MP","6948","0","152.0","65.4","-1.5","143"
"","Maharashtra","18911","62","414.1","133.1","-4.1","500"
"","Goa","407","0","8.9","7.2","1.0","162"
"","DD","272","0","6.1","6.2","0.0","19"
"","DNH","635","0","14.9","14.9","0.0","24"
"","Essar steel","491","0","11.1","10.9","0.2","15"
"SR","Andhra Pradesh","11828","1800","268.1","92.5","2.6","476"
"","Karnataka","9257","400","201.2","37.2","2.2","272"
"","Kerala","3116","75","61.7","30.9","1.3","200"
"","Tamil Nadu","12305","768","274.2","99.3","2.2","509"
"","Pondy","348","0","7.2","7.3","-0.1","24"
"ER","Bihar","2431","500","42.2","37.6","3.1","180"
"","DVC","2454","0","55.1","-10.0","0.4","250"
"","Jharkhand","816","0","18.7","8.9","-1.3","70"
"","Odisha","3856","0","79.6","20.1","2.4","380"
"","West Bengal","6916","76","153.5","59.7","0.9","410"
"","Sikkim","96","0","1.5","1.2","0.3","30"
"NER","Arunachal Pradesh","97","3","1.3","0.9","0.4","45"
"","Assam","1010","190","17.9","11.7","2.2","126"
"","Manipur","111","2","1.6","1.4","0.2","48"
"","Meghalaya","258","7","3.8","3.4","-0.3","63"
"","Mizoram","69","1","1.0","0.9","-0.2","22"
"","Nagaland","99","1","1.4","1.5","-0.4","41"
"","Tripura","224","3","2.3","0.4","-0.1","81"
