"","NR","WR","SR","ER","NER"
"Schedule(MU)","108.7","-75.9","37.9","-76.5","6.2"
"Actual(MU)","114.6","-88.3","37.2","-69.1","8.1"
"O/D/U/D(MU)","5.9","-12.4","-0.7","7.4","1.9"
