"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","236.5","-239.8","70.0","-66.0","-0.8","0.0"
"Actual(MU)","229.3","-248.4","67.4","-55.1","-2.4","-9.1"
"O/D/U/D(MU)","-7.3","-8.6","-2.6","10.9","-1.6","-9.1"
