"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.1","1.5","0.1","87.4","12.5"
"SR GRID","0.0","0.0","1.2","1.9","1.2","93.7","5.1"
