"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6247","0","139.2","86.7","0.2","150"
"","Haryana","6737","0","133.9","87.1","-0.3","198"
"","Rajasthan","8878","0","193.5","71.2","0.0","89"
"","Delhi","5005","0","101.9","78.8","1.3","312"
"","UP","12282","3162","266.3","132.5","0.3","345"
"","Uttarakhand","1866","75","38.9","19.5","0.7","158"
"","HP","1215","0","25.6","3.0","0.8","141"
"","J&K","1883","377","29.2","16.3","-1.5","344"
"","Chandigarh","290","0","5.6","5.2","0.3","38"
"WR","Chhattisgarh","3336","301","76.4","23.9","-0.4","304"
"","Gujarat","13704","19","297.9","60.2","0.5","220"
"","MP","7193","0","153.3","94.4","-3.9","264"
"","Maharashtra","19573","45","425.9","112.7","-0.4","677"
"","Goa","424","0","9.1","8.0","0.4","59"
"","DD","291","0","6.4","6.7","-0.3","41"
"","DNH","700","0","15.8","16.2","-1.4","-5"
"","Essar steel","437","0","7.6","9.0","-1.4","93"
"SR","Andhra Pradesh","6182","0","137.3","36.2","1.9","322"
"","Telangana","5517","135","123.1","76.8","0.3","196"
"","Karnataka","6940","200","145.4","22.3","1.3","637"
"","Kerala","3374","125","60.0","36.8","1.9","183"
"","Tamil Nadu","9907","912","224.2","99.7","-0.3","362"
"","Pondy","307","0","6.0","6.4","-0.4","31"
"ER","Bihar","2774","50","57.3","55.0","-2.3","485"
"","DVC","2667","0","60.8","-36.6","-0.8","389"
"","Jharkhand","968","0","21.2","10.6","-1.4","85"
"","Odisha","3653","0","70.5","22.1","3.2","365"
"","West Bengal","7043","0","139.6","46.9","3.9","405"
"","Sikkim","86","0","1.3","1.1","0.2","20"
"NER","Arunachal Pradesh","109","1","1.3","1.5","-0.2","40"
"","Assam","1235","130","22.2","14.4","2.4","220"
"","Manipur","148","2","2.1","2.1","0.0","37"
"","Meghalaya","278","2","4.3","3.3","-0.4","54"
"","Mizoram","78","1","1.2","1.1","0.1","22"
"","Nagaland","104","7","2.1","1.6","0.4","28"
"","Tripura","231","1","2.9","1.3","-0.4","18"
