"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","0.8","0.0","78.7","21.3"
"SR GRID","0.0","0.1","5.3","16.6","5.4","88.3","6.3"
