"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.2","6.3","1.2","92.5","6.3"
"SR GRID","0.0","0.0","0.3","0.7","0.3","86.0","13.7"
