"","NR","WR","SR","ER","NER"
"Schedule(MU)","117.2","-87.4","47.5","-80.4","3.0"
"Actual(MU)","116.8","-92.7","53.9","-80.8","2.4"
"O/D/U/D(MU)","-0.4","-5.3","6.4","-0.4","-0.6"
