"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.5","2.7","5.3","3.2","93.6","3.2"
"SR GRID","0.0","0.2","8.5","23.4","8.8","89.8","1.5"
