"","NR","WR","SR","ER","NER"
"Schedule(MU)","139.5","-107.2","49.4","-76.0","-0.9"
"Actual(MU)","135.0","-106.9","48.9","-76.9","-2.1"
"O/D/U/D(MU)","-4.5","0.3","-0.5","-0.9","-1.2"
