"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.71","0.39","6.28","6.68","60.03","33.29"
"SR GRID","0.00","0.71","0.39","6.28","6.68","60.03","B. Frequency Profile (%)33.29"
