"","NR","WR","SR","ER","NER"
"Schedule(MU)","112.6","-86.5","28.9","-61.9","6.9"
"Actual(MU)","109.5","-90.6","26.7","-50.4","4.8"
"O/D/U/D(MU)","-3.1","-4.1","-2.2","11.5","-2.1"
