"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","225.3","-222.6","118.8","-121.0","-0.3","0.2"
"Actual(MU)","232.1","-247.3","129.8","-115.6","-0.9","-1.9"
"O/D/U/D(MU)","6.8","-24.7","11.0","5.4","-0.6","-2.1"
